category,subject,topic,description,keywords
인문학,국어/언어와 매체/정보,"AI 시대의 언어 변화와 인간 언어의 특징 분석","인공지능 번역기와 생성형 AI가 사용하는 언어 표현을 분석하고 인간의 언어 사용 방식과 비교한다. 형태소 분석, 자연어 처리 원리와 언어학적 관점을 연결하여 AI 언어 처리의 특징과 한계를 탐구한다.","인공지능;자연어처리;언어학;형태소분석"
인문학,독서/고전 읽기/윤리,"고전 문학 속 인간관과 현대 사회 문제의 비교 분석","고전 작품에 나타난 인간관, 사회적 가치, 윤리적 문제를 분석하고 현대 사회의 사례와 비교한다. 시대별 가치관 변화가 문학 표현과 주제 형성에 미친 영향을 탐구한다.","고전문학;윤리;사회변화;인간관"
인문학,국어/언어와 매체/정보,"온라인 공간의 신조어 생성 원리와 언어 변화 연구","인터넷 커뮤니티와 SNS에서 등장하는 신조어를 수집하고 생성 방식과 의미 변화를 분석한다. 언어의 사회적 기능과 디지털 환경이 언어 변화에 미치는 영향을 탐구한다.","신조어;언어변화;디지털문화;사회언어학"
인문학,영어/정보/수학,"영어 텍스트의 감정 분석과 인공지능 기반 언어 분석","영어 뉴스나 소셜미디어 데이터를 수집하여 긍정·부정 감정 표현을 분석한다. 텍스트 마이닝과 감정 분석 알고리즘을 활용하여 언어 데이터 분석 방법을 탐구한다.","영어텍스트;감정분석;텍스트마이닝;데이터분석"
인문학,국어/문학/사회문화,"문학 작품 속 사회적 약자 표현 변화 분석","시대별 문학 작품에서 사회적 약자가 어떻게 표현되어 왔는지 분석한다. 작품 속 인물 묘사와 사회 구조 변화의 관계를 문학적 관점에서 탐구한다.","문학분석;사회문화;인물표현;시대변화"
인문학,영어/세계사/문화,"영어권 국가의 역사적 사건이 언어 표현에 미친 영향","영어권 국가의 주요 역사 사건과 관련된 표현과 관용어를 조사한다. 역사적 배경이 언어 형성과 문화적 의미에 어떤 영향을 주었는지 분석한다.","영어문화;세계사;관용표현;역사언어학"
인문학,국어/언어와 매체/정보,"가짜 뉴스의 언어적 특징과 판별 방법 연구","온라인 뉴스 데이터를 분석하여 가짜 뉴스에서 나타나는 표현 방식과 설득 전략을 조사한다. 정보 검증 과정과 언어 분석 방법을 연결하여 미디어 문해력을 탐구한다.","가짜뉴스;미디어문해력;언어분석;정보검증"
인문학,고전 읽기/철학/윤리,"동서양 고전에서 나타난 행복 개념 비교 연구","동양과 서양 철학 고전에서 제시하는 행복의 의미를 비교한다. 철학적 개념을 현대 사회의 삶의 방식과 연결하여 분석한다.","철학;고전;행복론;윤리"
인문학,국어/문학/심리학,"문학 작품 속 인물의 심리 변화와 서사 구조 분석","소설 속 주요 인물의 심리 변화를 분석하고 사건 전개와의 관계를 탐구한다. 심리학의 인간 행동 이론과 문학적 표현 방식을 연결한다.","문학;심리학;서사구조;인물분석"
인문학,영어/독서/정보,"온라인 영어 학습 자료의 효과 분석","영어 학습 플랫폼과 영상 자료를 비교하여 학습 효과를 분석한다. 학습 데이터 수집과 통계 분석을 통해 효과적인 영어 학습 방식의 특징을 탐구한다.","영어교육;학습데이터;통계분석;온라인학습"
인문학,국어/사회문화/통합사회,"지역 방언의 특징과 사회적 인식 변화 연구","지역별 방언 자료를 조사하고 발음과 어휘 특징을 비교한다. 방언에 대한 사회적 인식과 지역 문화의 관계를 탐구한다.","방언;지역문화;사회언어학;언어다양성"
인문학,영어/문학/세계사,"영미 문학 작품 속 시대적 가치관 분석","대표적인 영미 문학 작품을 선정하여 작품 속 시대 상황과 가치관을 분석한다. 역사적 배경과 문학 표현의 연관성을 탐구한다.","영미문학;역사배경;가치관;문학비평"
인문학,국어/언어와 매체/정보,"생성형 AI가 만든 글과 인간 글의 표현 특징 비교","AI 생성 글과 인간 작성 글을 비교하여 문장 구조, 어휘 사용, 표현 방식의 차이를 분석한다. 자연어 생성 기술의 원리와 인간 언어 표현의 특징을 탐구한다.","생성형AI;글쓰기;자연어생성;표현분석"
인문학,일본어/문화/세계사,"일본어 표현 속 문화적 가치관 분석","일본어의 존댓말, 관용 표현, 문화 관련 어휘를 분석한다. 언어 표현 속에 반영된 일본 사회의 문화적 특징을 탐구한다.","일본어;언어문화;존댓말;문화연구"
인문학,국어/독서/경제,"광고 언어의 설득 전략과 소비자 심리 분석","광고 문구를 분석하여 사용되는 표현 전략과 설득 방식을 탐구한다. 경제적 소비 행동과 언어 표현의 관계를 분석한다.","광고언어;소비심리;설득전략;마케팅"
인문학,영어/정보/수학,"영어 단어 빈도 분석을 통한 언어 사용 패턴 연구","영어 텍스트 자료를 수집하여 단어 출현 빈도와 특징을 분석한다. 빈도 분석, 통계적 언어 분석 방법을 활용하여 언어 사용 패턴을 탐구한다.","영어데이터;빈도분석;통계;언어패턴"
인문학,국어/문학/미술,"문학 작품과 삽화의 표현 방식 비교 연구","문학 작품의 내용과 이를 시각화한 삽화를 비교 분석한다. 언어 표현과 시각 표현이 독자에게 전달하는 의미 차이를 탐구한다.","문학;삽화;표현방식;융합예술"
인문학,고전 읽기/한국사/윤리,"한국 고전 속 정치 사상과 현대 민주주의 비교","한국 고전 문헌에 나타난 정치적 이상과 사회 질서를 분석한다. 현대 민주주의 가치와 비교하여 시대별 정치 사상의 변화를 탐구한다.","한국고전;정치사상;민주주의;역사"
인문학,국어/언어와 매체/사회문화,"SNS 댓글 문화와 온라인 의사소통 방식 분석","SNS 댓글 데이터를 분석하여 온라인 의사소통의 특징과 문제점을 탐구한다. 언어 사용 방식과 사회적 관계 형성의 연관성을 분석한다.","SNS;온라인소통;댓글문화;사회언어학"
인문학,영어/독서/철학,"영어 철학 에세이 분석을 통한 논증 구조 연구","영어 철학 글을 분석하여 주장, 근거, 반박 구조를 파악한다. 논리적 글쓰기 방식과 비판적 사고 과정을 탐구한다.","영어독해;논증;비판적사고;철학"
