category,subject,topic,description,keywords
인문학,국어/정보,AI 형태소 분석기와 인간의 문장 해석 방식 비교,"국어 문장을 형태소 분석기로 분석한 결과와 사람이 직접 품사와 문장 성분을 분석한 결과를 비교한다. 자연어처리의 형태소 분석 원리를 이해하고 실제 오분석 사례를 수집하여 언어 규칙의 한계를 탐구한다.",자연어처리;형태소분석;품사;AI
인문학,국어/수학,한글 자모의 조합 원리와 조합론의 관계 탐구,"한글 초성과 중성 및 종성의 조합 원리를 조합론으로 분석하여 가능한 글자 수를 계산한다. 훈민정음의 과학성과 수학적 구조를 함께 탐구한다.",한글;조합론;훈민정음;수학
인문학,국어/물리학,소리의 물리적 특성과 한국어 발음의 관계,"모음과 자음을 발음할 때 생성되는 음파를 분석하고 진동수와 공명 원리를 조사한다. 발음 기관의 구조와 음성의 물리적 특성을 함께 탐구한다.",음파;발음;공명;음성학
인문학,국어/생명과학,인간의 언어 습득 과정과 뇌 발달의 관계,"유아의 언어 발달 과정을 생명과학적 관점에서 조사하고 신경세포의 연결 변화와 비교한다. 언어 습득 과정이 뇌 발달과 어떤 관련이 있는지 탐구한다.",언어습득;신경계;뇌발달;생명과학
인문학,독서/정보,추천 알고리즘은 독서 선택을 어떻게 바꾸는가,"전자책 플랫폼의 추천 시스템 구조를 조사하고 협업 필터링의 원리를 분석한다. 추천 알고리즘이 독서 다양성에 미치는 영향을 데이터와 함께 탐구한다.",추천알고리즘;협업필터링;독서;데이터
인문학,독서/사회문화,베스트셀러는 어떻게 만들어지는가,"베스트셀러의 판매 과정과 사회적 확산 요인을 조사한다. 사회 연결망과 군집 행동 개념을 활용하여 독서 문화의 형성 과정을 분석한다.",베스트셀러;사회연결망;독서문화;확산
인문학,화법과작문/정보,생성형 AI가 작성한 글과 학생 글의 언어적 특징 비교,"생성형 AI와 학생이 동일한 주제로 작성한 글을 비교하여 문장 길이와 어휘 다양성 및 문체를 분석한다. 자연어처리 기법을 활용하여 차이를 정량적으로 탐구한다.",생성형AI;문체분석;텍스트마이닝;작문
인문학,화법과작문/통계,설득 글의 구조와 설문 결과의 상관관계 분석,"설득문 구조를 유형별로 분류하고 독자의 설득 정도를 설문으로 조사한다. 통계 분석을 통해 효과적인 글쓰기 요소를 탐구한다.",설득;통계;작문;설문
인문학,언어와매체/정보,SNS 언어의 변화 양상과 텍스트 데이터 분석,"SNS 게시글을 수집하여 신조어와 축약 표현의 빈도를 분석한다. 텍스트 마이닝 기법을 활용하여 온라인 언어 변화의 특징을 탐구한다.",SNS;텍스트마이닝;신조어;언어변화
인문학,언어와매체/사회문화,밈 언어는 어떻게 확산되는가,"인터넷 밈의 생성과 확산 과정을 사례 중심으로 조사한다. 사회문화적 확산 이론과 온라인 네트워크 구조를 연결하여 분석한다.",밈;확산;온라인문화;네트워크
인문학,고전읽기/윤리,고전 속 정의 개념과 현대 사회의 공정성 비교,"동양과 서양 고전에서 제시한 정의 개념을 조사하고 현대 사회의 공정성 논의와 비교한다. 시대에 따른 가치관 변화도 함께 탐구한다.",정의;공정성;고전;윤리
인문학,고전읽기/정치와법,맹자의 왕도정치와 현대 민주주의 비교,"맹자의 정치 사상을 현대 민주주의 원리와 비교하여 공통점과 차이점을 분석한다. 정치 제도의 발전 과정을 함께 탐구한다.",맹자;민주주의;정치사상;왕도정치
인문학,영어/정보,영어 번역 AI의 오역 유형 분석,"번역 AI가 번역한 문장과 사람이 번역한 문장을 비교하여 오역 사례를 분류한다. 기계번역의 원리와 한계를 자연어처리 관점에서 분석한다.",기계번역;영어;AI;자연어처리
인문학,영어/수학,영어 단어 길이 분포와 통계적 특성 분석,"영문 소설에서 단어 길이를 추출하여 평균과 분산 및 빈도 분포를 계산한다. 통계적 특성을 통해 영어 어휘 구조를 분석한다.",영어;통계;단어길이;빈도분석
인문학,영어독해와작문/사회문화,영문 뉴스의 프레이밍 차이 분석,"동일한 국제 이슈를 다룬 여러 영문 기사를 비교하여 표현 방식과 논조를 분석한다. 언어 선택이 독자의 인식에 미치는 영향을 탐구한다.",영문뉴스;프레이밍;담론분석;사회
인문학,영어/경제,기업 광고 영어 표현과 소비 심리의 관계,"글로벌 기업 광고 문구를 분석하여 소비자의 감정에 영향을 주는 표현을 조사한다. 행동경제학 개념과 연결하여 탐구한다.",광고;소비심리;영어;행동경제학
인문학,영어/생명과학,의학 논문의 영어 표현 특징 분석,"의학 분야 영문 초록을 분석하여 자주 사용되는 문법과 표현을 조사한다. 학술 영어의 특징과 과학적 글쓰기 방식을 탐구한다.",의학논문;학술영어;과학글쓰기;의학
인문학,심화영어/환경,기후변화 관련 영문 보고서의 핵심 표현 분석,"국제기구의 기후변화 보고서를 분석하여 반복되는 핵심 어휘와 표현을 조사한다. 환경 문제 전달 방식의 특징을 탐구한다.",기후변화;영문보고서;환경;어휘
인문학,영어/지리,국가별 관광 홍보 영어 표현 비교,"여러 국가의 관광 홍보 자료를 분석하여 문화적 특징이 반영된 표현을 비교한다. 언어와 국가 이미지 형성의 관계를 탐구한다.",관광;국가이미지;영어;문화
인문학,영어/정보,감성 분석을 활용한 영어 리뷰 데이터 탐구,"영어 상품 리뷰를 긍정과 부정으로 분류하는 감성 분석 원리를 조사한다. 머신러닝 기반 자연어처리 기술의 활용 사례를 탐구한다.",감성분석;머신러닝;영어리뷰;NLP
인문학,일본어/역사,일본어 속 한자 문화권의 흔적 탐구,"일본어 어휘에 포함된 한자의 의미 변화를 조사하고 한국과 중국의 한자 문화와 비교한다. 역사적 교류가 언어에 미친 영향을 분석한다.",일본어;한자;문화교류;역사
